Name,Symbol,Token Address,Pair Address,DEX,age_bucket,seen_count,launch_liquidity_usd,liquidity_growth_pct,Liquidity USD,Volume 24h USD,Current MC/FDV USD,txns_h1,txns_h24,liq_to_vol,buys_h1,sells_h1,buys_h6,sells_h6,price_change_h1,price_change_h6,Liquidity_fmt,Volume_24h_fmt,MC/FDV_fmt,Price USD,MC Source,pairs_count,launch_dt,launch_age_hours,launch_conf,launch_pair,launch_dex,launch_quote,pairs_guard_mode,max_pairs_for_new
U.S Oil,USOR,USoRyaQjch6E18nCdDvWoRgTo6osQs9MUd8JXEsspWR,ECuy1H7P9hoa4BMQzppDhox64quS8MsfucnTQtNWjsRb,meteora,>7d,90,362616.28,70.92,619793.76,2420891.01,28252561.0,193,6157,0.256019,164,29,452,347,26.93,-14.48,619.79k,2.42m,28.25m,0.02825,marketCap,30,2026-01-08T22:49:34+00:00,563.1841420075,high,ECuy1H7P9hoa4BMQzppDhox64quS8MsfucnTQtNWjsRb,meteora,SOL,exclude,8
PEPSTEIN,PEPSTEIN,UKbjzACGQuvQHT2qYjfPqH6Fu6robJ5ZLx29GSnpump,4eqo6Rg1dVEuaPigr1QLnaPDYpKEU3QsBqCYiRoQqfUc,pumpswap,6-12h,3,29734.3,0.77,29962.16,745188.09,111124.0,844,18519,0.040208,418,426,4974,5234,-2.94,-71.51,29.96k,745.19k,111.12k,0.0001111,marketCap,2,2026-02-01T02:20:54+00:00,7.661919785277778,high,4eqo6Rg1dVEuaPigr1QLnaPDYpKEU3QsBqCYiRoQqfUc,pumpswap,SOL,exclude,8
Moltbook Town,TOWN,DgN9zcmQgWF98qkhoMEshq7G4eRDjxcHoXvijfffBAGS,E4rADp26yhGRbUM9ae5u8Z4tRwuvEgHZxb5jinfiiqSB,meteora,24-48h,6,13552.16,643.66,100781.39,4346822.77,1440573.0,5962,30819,0.023185,3278,2684,4335,3706,245.0,320.0,100.78k,4.35m,1.44m,0.00144,marketCap,7,2026-01-31T06:58:38+00:00,27.03303089638889,high,E4rADp26yhGRbUM9ae5u8Z4tRwuvEgHZxb5jinfiiqSB,meteora,SOL,exclude,8
bǐngwǔ,丙午,DMYNp65mub3i7LRpBdB66CgBAceLcQnv4gsWeCi6pump,2Y8QhdP4Zox3mTKiJNpCQiFqUncHDE69LKZnTyvFjeqG,pumpswap,>7d,84,38240.04,231.17,126640.53,373824.62,1244406.0,3177,58855,0.33877,2124,1053,12542,6668,-0.39,-10.5,126.64k,373.82k,1.24m,0.001244,marketCap,8,2026-01-16T13:59:53+00:00,380.01219756305557,high,2Y8QhdP4Zox3mTKiJNpCQiFqUncHDE69LKZnTyvFjeqG,pumpswap,SOL,exclude,8
ZERO-HUMAN COMPANY,ZHC,AWc8uws9nh7pYjFQ8FzxavmP8WTUPwmQZAvK2yAPBAGS,C8KA6cyjvi1pTsARZa5meWduJeJATVius1y33UdWTF7Z,meteora,>7d,71,167855.91,-46.94,89056.83,348922.03,1168981.0,85,2499,0.255234,58,27,178,167,2.65,24.86,89.06k,348.92k,1.17m,0.001169,marketCap,4,2026-01-22T17:50:33+00:00,232.1677531186111,high,C8KA6cyjvi1pTsARZa5meWduJeJATVius1y33UdWTF7Z,meteora,SOL,exclude,8
Buddy,buddy,9HHrikqNLYvfXzxtNV8pvPLrWbDGG4mZkVpaKBcvgLyu,36VnT7AR1GfUgUYz4EBgqkzLrZpVduziCx3wVNkaNjYw,pumpswap,3-7d,3,46251.41,-33.42,30794.0,455196.38,105777.0,88,4673,0.06765,47,41,304,289,-1.7,10.5,30.79k,455.20k,105.78k,0.0001057,marketCap,2,2026-01-29T09:45:55+00:00,72.24497534083334,high,36VnT7AR1GfUgUYz4EBgqkzLrZpVduziCx3wVNkaNjYw,pumpswap,SOL,exclude,8
King Molt,KING,8bDjEfE2EsgRPoCrtwMCHYqQMDEV5uZmTXiUEbabpump,5ZhVmB8VtswjrdtFj2sNxRG3cfDzNGqRjFVY5456J98S,pumpswap,12-24h,2,27164.56,59.6,43355.71,1463548.53,213501.0,756,19975,0.029624,451,305,3603,2540,-30.42,7.93,43.36k,1.46m,213.50k,0.0002135,marketCap,4,2026-01-31T21:08:56+00:00,12.861364229722222,high,5ZhVmB8VtswjrdtFj2sNxRG3cfDzNGqRjFVY5456J98S,pumpswap,SOL,exclude,8
ClawChain,CLAW,BQ48k92gDbxDrpw8Zr7NtYA5Bi7kttZ5cDASnEZNpump,5k97NcbQgZ6zb5dXP4aDJ1Y3231t4Ufqp5TYEjP3ssY5,pumpswap,12-24h,4,68804.46,-15.89,57873.53,3321031.6,331491.0,648,47716,0.017426,346,302,2507,2016,82.49,-2.15,57.87k,3.32m,331.49k,0.0003348,marketCap,4,2026-01-31T20:56:48+00:00,13.063586451944444,high,5k97NcbQgZ6zb5dXP4aDJ1Y3231t4Ufqp5TYEjP3ssY5,pumpswap,SOL,exclude,8
Moltmint,Moltmint,J69WFv8QGDzJNHiciYW2Ta1yzYM3N9ZA588XdJ78pump,36QX6sP3jHBamZYYeYph5kMsja1rW1p2Aqd3APo93s3b,pumpswap,6-12h,2,24877.31,62.32,40381.63,1146934.34,190680.0,331,19260,0.035208,170,161,3881,2972,26.28,50.68,40.38k,1.15m,190.68k,0.0001906,marketCap,3,2026-02-01T00:46:08+00:00,9.24136422972222,high,36QX6sP3jHBamZYYeYph5kMsja1rW1p2Aqd3APo93s3b,pumpswap,SOL,exclude,8
ClaudeCraft,CRAFT,B887p4K81vnF9ar13TB4gdAgjPRJXL77ztvXyjsypump,D347vF8gu5Y4QESEKY9fiTnSUaR6HYP1kz2v6bgZJKqV,pumpswap,0-6h,2,45394.39,-27.45,32931.57,1632186.06,123786.0,544,22397,0.020176,256,288,12550,9847,82.49,182.0,32.93k,1.63m,123.79k,0.0001246,marketCap,3,2026-02-01T05:10:51+00:00,4.829419785277778,high,D347vF8gu5Y4QESEKY9fiTnSUaR6HYP1kz2v6bgZJKqV,pumpswap,SOL,exclude,8
Smoking Chicken Fish,SCF,CcYCAx8NzB45yGJT29pxHW1JJ8EHfDLFifkUd7Vxpump,ABLbwwnHkxCmp9XN78CCq3VUqX69XM3GZi6BGetprtGg,pumpswap,0-6h,2,22182.54,113.69,47402.12,1304167.49,263703.0,1598,23567,0.036347,918,680,13325,10242,-0.99,511.0,47.40k,1.30m,263.70k,0.0002637,marketCap,4,2026-02-01T05:42:26+00:00,4.303030896388889,high,ABLbwwnHkxCmp9XN78CCq3VUqX69XM3GZi6BGetprtGg,pumpswap,SOL,exclude,8
Epstein Fight,Efight,9RpGDMvhJUcajJQ3fQANbe2Ry6mNaLQPLp4HRy58pump,Bc9dExLw7wscGScDfD7vSRyuCse844FMJbQgDRpH2ihm,pumpswap,0-6h,2,99027.39,38.23,136888.25,1048231.27,2428763.0,1916,23981,0.13059,1195,721,13496,10485,21.0,3739.0,136.89k,1.05m,2.43m,0.002428,marketCap,2,2026-02-01T04:37:14+00:00,5.389697563055556,high,Bc9dExLw7wscGScDfD7vSRyuCse844FMJbQgDRpH2ihm,pumpswap,SOL,exclude,8
Flufy,Flufy,43uGwcykUgmtQYrgsSDk7VkFhgN3kH9aThYeyWnBpump,FXeppYnNSTv4JkruHjDPKcnc2uBUnNqo2hswBs5RRDA4,pumpswap,6-12h,2,65322.6,-9.71,58978.63,5381836.93,339500.0,1270,46253,0.010959,732,538,6835,5538,7.84,-49.61,58.98k,5.38m,339.50k,0.0003395,marketCap,8,2026-02-01T02:42:18+00:00,7.305253118611112,high,FXeppYnNSTv4JkruHjDPKcnc2uBUnNqo2hswBs5RRDA4,pumpswap,SOL,exclude,8
Benham,Benham,HFtLLofzSqJUP5Hk96jyrBjyZq6PcUjfSA8AbKoopump,3VbpE4uCmN3j6LnUJzGqUjFDkxxyMpxUtUQjTBCdsjfy,pumpswap,3-7d,2,43352.06,8.62,47088.87,274092.18,225051.0,103,3961,0.171799,45,58,981,618,9.93,-14.31,47.09k,274.09k,225.05k,0.000225,marketCap,1,2026-01-27T19:35:44+00:00,110.41469756305555,high,3VbpE4uCmN3j6LnUJzGqUjFDkxxyMpxUtUQjTBCdsjfy,pumpswap,SOL,exclude,8
