Token Address,reason,pairs_count,liquidity_usd,liquidity_fmt,launch_dt,launch_conf,vol24,vol24_fmt,launch_age_days
AUVt22e4JsZE6xhzY5yqimdcwUbMKFM1SfMCMX8ppump,no_valid_launch_pair,1.0,,,,,,,
C29ebrgYjYoJPMGPnPSGY1q3mMGk4iDSqnQeQQA7moon,too_many_pairs>8_and_older_than_30.0d,14.0,,,2025-04-24T15:06:26+00:00,,,,296.79
2ocYd9f3564zUL1j6zUi8FR6Rn4Yo76BvXoZwLYASYFR,vol24<200000.0,1.0,,,,,63228.06,63.23k,
EkJuyYyD3to61CHVPJn6wHb7xANxvqApnVJ4o2SdBAGS,launch_older_than_30.0d,7.0,,,2025-08-06T22:26:12+00:00,medium,,,
5NGM6UJM4q9WSCU6XoqvrLNfvyR58mGL3ENBrrVhBAGS,launch_older_than_30.0d,4.0,,,2025-12-26T14:35:43+00:00,high,,,
CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,launch_older_than_30.0d,7.0,,,2025-08-30T07:06:48+00:00,medium,,,
8SSWWB4ZuwaMqsoxQpJH3FryJWwyGKCGE89qpAKepump,no_valid_launch_pair,1.0,,,,,,,
3W2Sshrh7wqfsy59g9E9oc3K2HVbFjJ2seGaE9Cypump,no_valid_launch_pair,1.0,,,,,,,
B9u8h65uM1oifqmP82VyUDb68iG2fKfZiyubmNMtu3h7,no_valid_launch_pair,2.0,,,,,,,
6TC3Nj94aEFK7ZzZ5QWUk29aUeym4TQYcqntW4z8Q88x,no_valid_launch_pair,1.0,,,,,,,
Ew2x12bVa8YTwEuFVeFRAUwe6ypnv72zYiks11iupump,no_valid_launch_pair,1.0,,,,,,,
4pwL7CrmUN7aZE4K8Q7tUg6JuMLYSTZ3onosrNqTZYKa,vol24<200000.0,1.0,,,,,39.79,39.79,
Dn3DFUNDKEyMJGrEsuzTiYrfEwtPo86iH5qTKzbbtiag,no_valid_launch_pair,1.0,,,,,,,
6VujgXW7wrXqxB4EorEa1dvB8HJFcRpzzJ3R36q5pump,no_valid_launch_pair,1.0,,,,,,,
7bEtSBEPqFz3CTe8TSGYuj7mJvNYfnpW7rG6NhKEpump,no_valid_launch_pair,1.0,,,,,,,
5kxHvrgMYszP7UthYbjFTdawrBnxqK4xP8hMXk71pump,no_valid_launch_pair,1.0,,,,,,,
6rnMcA4a8eBizGwWkK3qTouFyMmb9Q2YioPZeeqjpump,no_valid_launch_pair,1.0,,,,,,,
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,too_many_pairs>8_and_older_than_30.0d,30.0,,,2024-11-07T19:35:59+00:00,,,,464.6
F4gh7VNjtp69gKv3JVhFFtXTD4NBbHfbEq5zdiBJpump,launch_older_than_30.0d,1.0,,,2025-12-12T23:29:01+00:00,low,,,
hUxoKHEJ1PGCEr9zjRrbCtsDu7b6boZvTrs13Cnxfun,liquidity<25000.0,1.0,5260.58,5.26k,,,,,
